dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,dimension9,dimension10,dimension11,dimension12,dimension13,dimension14,dimension15,dimension16,dimension17,dimension18,dimension19,dimension20,dimension21,dimension22,dimension23,dimension24,dimension25,dimension26,dimension27,dimension28,dimension29,dimension30,dimension31,dimension32,dimension33,dimension34,dimension35,dimension36,dimension37,dimension38,dimension39,dimension40,dimension41,dimension42,dimension43,dimension44,dimension45,dimension46,dimension47,dimension48,dimension49,dimension50,dimension51,dimension52,dimension53,dimension54,dimension55,dimension56,dimension57,dimension58,dimension59,dimension60,dimension61,dimension62,dimension63,dimension64,dimension65,dimension66,dimension67,dimension68,dimension69,dimension70,dimension71,dimension72,dimension73,dimension74,dimension75,dimension76,dimension77,dimension78,dimension79,dimension80,dimension81,dimension82,dimension83,dimension84,dimension85,dimension86,dimension87,dimension88,dimension89,dimension90,dimension91,dimension92,dimension93,dimension94,dimension95,dimension96,dimension97,dimension98,dimension99,dimension100,dimension101,dimension102,dimension103,dimension104,dimension105,dimension106,dimension107,dimension108,dimension109,dimension110,dimension111,dimension112,dimension113,dimension114,dimension115,dimension116,dimension117,dimension118,dimension119,dimension120,dimension121,dimension122,dimension123,dimension124,dimension125,dimension126,dimension127,dimension128,dimension129,dimension130,dimension131,dimension132,dimension133,dimension134,dimension135,dimension136,dimension137,dimension138,dimension139,dimension140,dimension141,dimension142,dimension143,dimension144,dimension145,dimension146,dimension147,dimension148,dimension149,dimension150,dimension151,dimension152,dimension153,dimension154,dimension155,dimension156,dimension157,dimension158,dimension159,dimension160,dimension161,dimension162,dimension163,dimension164,dimension165,dimension166,dimension167,dimension168,dimension169,dimension170,dimension171,dimension172,dimension173,dimension174,dimension175,dimension176,dimension177,dimension178,dimension179,dimension180,dimension181,dimension182,dimension183,dimension184,dimension185,dimension186,dimension187,dimension188,dimension189,dimension190,dimension191,dimension192,dimension193,dimension194,dimension195,dimension196,dimension197,dimension198,dimension199,dimension200,categories
0.0674923,-0.140399,0.261824,0.370461,0.0767577,-0.0240882,-0.0358234,0.11419,-0.0489035,0.55435,-0.317687,0.107641,0.217401,-0.0768169,0.00663248,0.385493,-0.0451,-0.27955,-0.225319,-0.22501,-0.161989,0.40064,-0.318518,0.0815251,-0.0716741,-0.014182,0.0680765,-0.377472,-0.115898,-0.00101903,-0.145533,-0.394269,-0.120061,0.151286,0.322759,-0.165275,0.193342,-0.116285,-0.369622,-0.482298,0.193921,0.171207,0.0476176,0.181571,0.15841,0.478129,-0.176203,-0.68695,0.195986,-0.273865,0.325797,0.354614,-0.214937,0.0268794,-0.299645,0.133758,0.158324,-0.156507,-0.229786,-0.0975364,-0.270723,-0.182465,-0.0439929,-0.175366,-0.278759,0.0790576,0.234618,-0.170686,0.46518,-0.102199,-0.107907,0.037902,0.142978,0.359084,-0.27911,-0.0888322,0.0483128,0.437233,0.0932378,-0.360371,0.118672,-0.0715535,-0.153881,0.327549,-0.00863204,0.106431,-0.272464,0.0153014,-0.194835,-0.0687787,-0.387288,-0.086139,0.12741,0.481425,0.0245066,-0.469669,0.0836517,0.309448,-0.5975,-0.332895,-0.600146,0.510816,-0.313014,-0.629031,0.171904,-0.283826,-0.696071,-0.272866,0.250891,0.36079,-0.580876,0.101129,0.306237,0.25979,-0.0609272,0.167846,-0.0233221,0.401634,0.53355,0.111832,-0.30643,0.246296,0.101967,-0.449149,-0.209772,0.41575,0.216672,0.331789,-0.208494,-0.281613,0.161272,-0.0771856,-0.0828353,-0.497635,-0.17646,0.286055,0.238339,-0.0100888,-0.292129,-0.517387,-0.522089,-0.337764,0.139103,0.161819,-0.144661,0.589224,-0.253951,0.311445,0.703128,0.368873,0.570697,0.650295,0.152741,-0.280478,0.302471,-0.549923,0.351682,0.251996,0.227977,-0.321578,0.0469499,0.132525,0.312691,-0.138803,0.292607,0.140981,-0.449207,0.448551,0.103396,0.00302275,-0.00808059,0.0619777,-0.395095,0.996373,0.107726,-0.0367356,0.020097,0.376232,-0.244732,0.199959,-0.129241,-0.413706,0.523634,-0.225907,0.673244,0.629231,0.192346,-0.158345,0.336692,0.252,-0.122418,0.319669,0.500869,0.0300217,-0.0712463,0.183135,0.147285,0.421151,0.196042,0.538149,1
0.00130496,-0.0796524,0.226584,0.277667,0.00567924,0.0132144,-0.00149584,0.0368459,-0.010719,0.37005,-0.243703,0.00644288,0.0242215,-0.0762505,-0.00460082,0.306066,-0.105012,-0.211486,-0.144579,-0.133419,-0.112931,0.258956,-0.205991,0.0945952,-0.0330874,-0.0312425,0.070461,-0.29194,-0.0448605,0.0348888,-0.153192,-0.250613,-0.0565218,0.115254,0.243404,-0.0716624,0.0280951,-0.0480156,-0.250217,-0.287253,0.119014,0.125607,-0.000530544,0.0952514,0.0766556,0.305489,-0.130846,-0.470588,0.108632,-0.150854,0.223951,0.218084,-0.227694,0.0887859,-0.277668,0.112224,0.154363,-0.037612,-0.138038,-0.0110104,-0.275002,-0.126145,-0.0499225,-0.0985548,-0.219012,0.0728883,0.0504986,-0.113595,0.342335,-0.137777,0.00447999,0.102169,0.0893828,0.250412,-0.132095,-0.120775,0.0487603,0.356644,-0.0395773,-0.336068,0.0821686,-0.0818468,-0.124402,0.233829,0.0765763,0.0624414,-0.164339,-0.00310841,-0.114063,-0.0862993,-0.206372,-0.023011,0.102487,0.350901,0.0100047,-0.319799,0.0432834,0.238625,-0.419965,-0.287432,-0.53464,0.451218,-0.270155,-0.483611,0.0867143,-0.257729,-0.568419,-0.246782,0.188291,0.319749,-0.411715,0.0838342,0.255813,0.20138,-0.0349769,0.0895133,-0.00471177,0.296203,0.34668,0.103465,-0.208038,0.0982523,0.0650001,-0.249984,-0.216358,0.288786,0.0592812,0.339994,-0.128855,-0.187059,0.175974,-0.0523813,-0.0456462,-0.433965,-0.139725,0.146788,0.128408,0.0287951,-0.155202,-0.390729,-0.43909,-0.289326,0.0709809,0.158651,-0.0282747,0.24848,-0.26282,0.241737,0.507898,0.244948,0.44635,0.465257,0.208188,-0.119097,0.147575,-0.38597,0.081677,0.260491,0.127853,-0.20025,0.0563713,0.074485,0.114417,-0.101003,0.268811,0.0133366,-0.332834,0.341389,0.132082,-0.0166996,0.0142779,0.126382,-0.294242,0.734854,0.114515,-0.000970365,-0.119545,0.100656,-0.186705,0.130138,0.027299,-0.311679,0.332157,-0.236495,0.441551,0.431257,-0.00324709,-0.0935789,0.202586,0.249247,-0.103842,0.273343,0.311859,0.0217173,0.0679965,0.197945,0.181217,0.264077,0.0609572,0.408473,1
0.0447962,-0.120015,0.255552,0.349683,0.0518784,-0.0119464,-0.0241498,0.0917623,-0.0350994,0.501287,-0.300612,0.0728923,0.146727,-0.0749416,0.000478363,0.372767,-0.0663297,-0.261845,-0.203343,-0.199877,-0.142165,0.361688,-0.282958,0.0893906,-0.0588555,-0.0241894,0.0592321,-0.361396,-0.0904878,0.00722964,-0.148662,-0.351432,-0.106097,0.132413,0.298231,-0.134769,0.137784,-0.0889686,-0.337457,-0.428117,0.175669,0.160816,0.0300693,0.156532,0.136288,0.432015,-0.165153,-0.633919,0.175391,-0.23609,0.288844,0.316938,-0.230902,0.0491596,-0.290843,0.1281,0.166078,-0.121101,-0.200878,-0.0636588,-0.284182,-0.16985,-0.0485731,-0.153253,-0.259201,0.0761911,0.178431,-0.163094,0.431436,-0.114546,-0.0750071,0.0661202,0.128475,0.324178,-0.231398,-0.104537,0.0433626,0.416677,0.0405426,-0.356243,0.105337,-0.0765567,-0.147002,0.30478,0.021118,0.0974206,-0.243949,0.000577813,-0.171027,-0.0767096,-0.328916,-0.0608768,0.132839,0.450304,0.0225276,-0.42477,0.0640355,0.286266,-0.55618,-0.331813,-0.596078,0.486933,-0.299594,-0.572524,0.154899,-0.290671,-0.650777,-0.256629,0.224592,0.363807,-0.536302,0.103598,0.293806,0.247955,-0.0647789,0.13932,-0.0183471,0.368979,0.475294,0.111264,-0.272078,0.206534,0.0899839,-0.381784,-0.204416,0.378978,0.16979,0.340686,-0.179581,-0.245959,0.147511,-0.0581664,-0.0655982,-0.477122,-0.165713,0.226645,0.196036,-0.00346178,-0.250887,-0.482367,-0.497683,-0.321304,0.11164,0.142675,-0.108569,0.484791,-0.266317,0.292676,0.648154,0.340465,0.53637,0.604298,0.1757,-0.226927,0.258576,-0.505349,0.268512,0.242971,0.202466,-0.287405,0.0355548,0.112259,0.247438,-0.125106,0.286595,0.1072,-0.430149,0.426741,0.108652,-0.00850003,0.0024847,0.0849739,-0.356434,0.919263,0.107836,-0.021996,-0.0212634,0.289827,-0.227143,0.175344,-0.0783666,-0.388913,0.473325,-0.223064,0.608833,0.581338,0.138823,-0.137226,0.313703,0.246651,-0.121341,0.301763,0.447307,0.0145627,-0.0354039,0.211529,0.172228,0.381182,0.166651,0.515769,1
0.0328857,-0.108319,0.244563,0.331914,0.0445517,-0.00431861,-0.0187246,0.0778975,-0.0337153,0.470298,-0.290016,0.0606881,0.111059,-0.0747955,-0.00359278,0.350519,-0.0782866,-0.245296,-0.187182,-0.189149,-0.130694,0.337167,-0.259736,0.0875864,-0.0483142,-0.0232821,0.0613801,-0.341225,-0.0725543,0.0170065,-0.150778,-0.325856,-0.0949336,0.131676,0.285592,-0.118658,0.105376,-0.0758157,-0.311745,-0.381584,0.159843,0.148532,0.0193299,0.139945,0.121159,0.403396,-0.155667,-0.590047,0.15981,-0.216213,0.264825,0.289956,-0.23244,0.0573657,-0.286752,0.124885,0.163307,-0.0969288,-0.185937,-0.0461761,-0.282,-0.159738,-0.0477917,-0.137611,-0.241547,0.0776538,0.138332,-0.148609,0.408931,-0.122561,-0.0505737,0.0762825,0.115167,0.311507,-0.206635,-0.108836,0.0496665,0.396597,0.0163913,-0.354031,0.0996612,-0.0841086,-0.139634,0.290497,0.037748,0.0861264,-0.223406,9.53299e-05,-0.154135,-0.0792117,-0.29305,-0.049612,0.122578,0.426214,0.0159587,-0.394071,0.061022,0.272747,-0.519741,-0.318044,-0.584118,0.477312,-0.288717,-0.556888,0.134239,-0.28305,-0.630196,-0.266714,0.218527,0.349105,-0.507853,0.0970899,0.277891,0.233157,-0.0638974,0.120062,-0.0145618,0.350919,0.440965,0.109955,-0.251969,0.174974,0.0756439,-0.345987,-0.207608,0.355798,0.148193,0.340634,-0.171353,-0.243364,0.160909,-0.0527795,-0.0535692,-0.460975,-0.15668,0.210954,0.177258,0.00470907,-0.227967,-0.469131,-0.480672,-0.317309,0.0967251,0.154594,-0.0749476,0.417118,-0.268715,0.274401,0.593775,0.304323,0.511829,0.566617,0.177366,-0.205996,0.230871,-0.470839,0.216365,0.248002,0.180285,-0.268677,0.042019,0.111404,0.21573,-0.119592,0.278789,0.0895014,-0.404645,0.406256,0.118327,-0.0175539,0.00673863,0.101619,-0.34668,0.870141,0.11077,-0.0200912,-0.0386557,0.244361,-0.212984,0.165017,-0.0450246,-0.371278,0.4287,-0.219105,0.553049,0.530827,0.0974454,-0.118605,0.280797,0.257913,-0.109047,0.284546,0.419307,0.0127639,0.00179741,0.213176,0.161833,0.337923,0.139608,0.485313,1
0.126494,-0.170788,0.275526,0.389254,0.130057,-0.0766576,-0.0721646,0.157141,-0.06861,0.626842,-0.321689,0.139161,0.297919,-0.052325,-0.057289,0.435442,-0.00761813,-0.271487,-0.261247,-0.281096,-0.151455,0.393188,-0.399039,0.0813005,-0.0837032,-0.0283248,0.0640639,-0.393825,-0.138975,-0.0310123,-0.158682,-0.44793,-0.17069,0.156452,0.331661,-0.210479,0.228019,-0.147752,-0.445669,-0.531185,0.247459,0.202866,0.0496896,0.21533,0.148638,0.54946,-0.206329,-0.76175,0.213896,-0.33491,0.337766,0.401536,-0.187162,0.00896577,-0.261816,0.110481,0.148225,-0.21192,-0.253535,-0.102897,-0.269063,-0.226744,-0.0317486,-0.185063,-0.281496,0.0675646,0.31692,-0.171116,0.498758,-0.0668276,-0.185677,0.00738742,0.167674,0.408506,-0.333137,-0.0979732,0.00771597,0.44511,0.130221,-0.373361,0.106503,-0.0757996,-0.134896,0.354779,-0.0668229,0.0555593,-0.31961,0.0211944,-0.22067,-0.0653367,-0.415994,-0.107675,0.149315,0.530936,0.0506435,-0.553305,0.0666889,0.323591,-0.640821,-0.353438,-0.650994,0.625831,-0.387536,-0.614728,0.237579,-0.304283,-0.688211,-0.287573,0.290793,0.401479,-0.64641,0.13079,0.368534,0.267384,-0.116204,0.118865,-0.0566086,0.429369,0.570608,0.135461,-0.298419,0.27947,0.0716594,-0.552199,-0.333173,0.372219,0.242476,0.299543,-0.197035,-0.260531,0.143745,-0.0952766,-0.171277,-0.505403,-0.190189,0.341396,0.265372,-0.0814499,-0.345464,-0.531107,-0.529862,-0.398217,0.242458,0.214062,-0.200522,0.723671,-0.213287,0.287215,0.856607,0.441895,0.632027,0.714967,0.186199,-0.336764,0.25953,-0.631831,0.433023,0.331113,0.26221,-0.299883,0.0800954,0.11814,0.433077,-0.124023,0.328329,0.142537,-0.570683,0.467378,0.100346,0.000577958,0.0714471,0.117432,-0.426932,1.03604,0.112605,0.0318315,0.0417011,0.42064,-0.194632,0.228162,-0.193593,-0.428135,0.595019,-0.257283,0.770803,0.66871,0.28276,-0.240616,0.404395,0.225472,-0.157397,0.395983,0.545736,0.0404192,-0.130925,0.143677,0.235272,0.4814,0.241485,0.589037,1
0.0330145,-0.100548,0.240433,0.306429,0.0388613,-0.0111186,-0.0196441,0.0588586,-0.0266087,0.433363,-0.259553,0.0258631,0.0737412,-0.0777111,-0.0189878,0.356623,-0.0959188,-0.228025,-0.172941,-0.176815,-0.114063,0.293175,-0.258398,0.100504,-0.0447481,-0.0433468,0.0729163,-0.321091,-0.0736109,0.0194284,-0.165875,-0.29901,-0.0781288,0.123149,0.262995,-0.108684,0.0599409,-0.0730532,-0.30117,-0.352593,0.150117,0.144799,0.00630516,0.124015,0.0905431,0.374785,-0.152148,-0.544163,0.13204,-0.190925,0.25969,0.264378,-0.221875,0.0919384,-0.28144,0.116399,0.162897,-0.083731,-0.163594,-0.0400678,-0.290218,-0.156599,-0.0465418,-0.119724,-0.239855,0.0715673,0.112647,-0.128945,0.388049,-0.122691,-0.0425611,0.0877548,0.101521,0.290144,-0.166383,-0.128168,0.0273985,0.385311,-0.00601659,-0.36013,0.0864273,-0.0876658,-0.108361,0.264952,0.0482835,0.0481131,-0.186248,-0.00520108,-0.135674,-0.0861822,-0.248803,-0.0323716,0.130478,0.407654,0.0250331,-0.384707,0.0431,0.258236,-0.470196,-0.321782,-0.545653,0.509987,-0.324377,-0.493526,0.118416,-0.276695,-0.596725,-0.244473,0.231638,0.349714,-0.490337,0.103729,0.290634,0.217214,-0.065597,0.102143,-0.0155801,0.329552,0.393499,0.133729,-0.237303,0.13092,0.0496775,-0.343954,-0.276547,0.306072,0.0850708,0.31211,-0.141703,-0.188285,0.137626,-0.0788497,-0.0839836,-0.435935,-0.169317,0.193115,0.1623,-0.00134894,-0.215018,-0.419674,-0.479816,-0.328873,0.109271,0.174807,-0.0830604,0.356563,-0.241346,0.254267,0.609219,0.308928,0.502873,0.527751,0.213392,-0.184394,0.176892,-0.481116,0.170205,0.284168,0.176376,-0.228075,0.0805198,0.0658593,0.2062,-0.122165,0.288689,0.037652,-0.410516,0.375866,0.128923,0.00654672,0.0479197,0.143294,-0.328627,0.809507,0.115253,-0.00187118,-0.0863944,0.188686,-0.178699,0.162415,-0.0382037,-0.321253,0.416033,-0.247844,0.534674,0.480803,0.0664524,-0.146633,0.270484,0.240556,-0.122967,0.296931,0.36204,0.0446462,-0.000830383,0.175528,0.211351,0.324991,0.103732,0.452158,1
0.0972023,-0.144209,0.261797,0.361298,0.0963473,-0.0554366,-0.0563099,0.125383,-0.0580506,0.566358,-0.303105,0.103434,0.226999,-0.0701764,-0.0435015,0.415166,-0.0529997,-0.25919,-0.229511,-0.242912,-0.136097,0.364953,-0.359256,0.0830885,-0.0744884,-0.0369207,0.0621538,-0.373851,-0.120042,-0.0187261,-0.153572,-0.414211,-0.143249,0.144458,0.311613,-0.18692,0.173382,-0.123813,-0.402114,-0.476367,0.20836,0.19189,0.028313,0.193531,0.136845,0.4935,-0.181748,-0.698157,0.194539,-0.285511,0.309184,0.355391,-0.204259,0.0372003,-0.283461,0.120026,0.154353,-0.175633,-0.231082,-0.0942866,-0.27793,-0.206775,-0.0324974,-0.174735,-0.26011,0.0687431,0.252012,-0.153626,0.471887,-0.0855591,-0.138503,0.0396443,0.140185,0.372311,-0.266005,-0.116252,0.00992902,0.427192,0.0904305,-0.370169,0.102011,-0.0889028,-0.119588,0.323043,-0.0325103,0.0586906,-0.2765,-0.00241235,-0.195482,-0.0763339,-0.366541,-0.0741131,0.149229,0.49497,0.0434309,-0.502579,0.0640606,0.300893,-0.596558,-0.352731,-0.622594,0.582882,-0.372199,-0.579845,0.200492,-0.291699,-0.652022,-0.275363,0.269175,0.394491,-0.591324,0.118699,0.352034,0.229882,-0.102733,0.12456,-0.0533679,0.393064,0.517968,0.138004,-0.277457,0.240942,0.073725,-0.481475,-0.31536,0.360568,0.182175,0.302844,-0.182058,-0.243452,0.126497,-0.0895232,-0.139017,-0.488443,-0.18821,0.29672,0.223003,-0.0408574,-0.304512,-0.498181,-0.520053,-0.385988,0.209066,0.188002,-0.161357,0.618883,-0.226886,0.275096,0.780387,0.408104,0.591433,0.655205,0.189704,-0.279406,0.233484,-0.587277,0.34025,0.310969,0.233256,-0.2871,0.081018,0.111644,0.362268,-0.127399,0.311841,0.120148,-0.517502,0.461643,0.104771,0.00478866,0.0585309,0.138762,-0.40966,0.973274,0.117098,-0.00108289,0.000421449,0.354374,-0.192905,0.221203,-0.145943,-0.382447,0.559768,-0.257888,0.70432,0.624186,0.206364,-0.208567,0.360968,0.232086,-0.137953,0.362578,0.492334,0.0526326,-0.0984718,0.167392,0.232714,0.431603,0.209419,0.554928,1
0.0796675,-0.136869,0.252178,0.351236,0.0719911,-0.039321,-0.0528341,0.104466,-0.042637,0.525989,-0.291008,0.0729634,0.174774,-0.07078,-0.0420405,0.399858,-0.0582695,-0.252551,-0.216054,-0.226943,-0.125832,0.340871,-0.327678,0.0922087,-0.0645931,-0.0373529,0.0679394,-0.355536,-0.108198,-0.00455472,-0.158887,-0.37562,-0.120072,0.141324,0.296195,-0.167339,0.140971,-0.102042,-0.36619,-0.43524,0.192747,0.176342,0.0278045,0.172134,0.120868,0.454196,-0.177985,-0.649644,0.17085,-0.254803,0.292419,0.328408,-0.216405,0.0531495,-0.276121,0.113504,0.153889,-0.147559,-0.203491,-0.0777052,-0.28016,-0.184662,-0.0403076,-0.155557,-0.256106,0.0676942,0.21218,-0.145229,0.444577,-0.0931384,-0.118024,0.0505995,0.130556,0.342231,-0.229278,-0.119223,0.0149551,0.417015,0.0511929,-0.366178,0.0951611,-0.0791715,-0.114934,0.298528,-0.00621528,0.0508489,-0.242781,-0.00254797,-0.177264,-0.0794271,-0.324566,-0.0510554,0.145956,0.468215,0.041837,-0.467549,0.0553443,0.284455,-0.561754,-0.345919,-0.592526,0.544006,-0.363752,-0.555721,0.180723,-0.290463,-0.62436,-0.257556,0.238972,0.378664,-0.563329,0.12736,0.326736,0.239477,-0.0926623,0.124209,-0.0279259,0.375937,0.469767,0.140109,-0.265079,0.205401,0.057058,-0.423677,-0.290366,0.329075,0.162887,0.296585,-0.170143,-0.225193,0.118921,-0.067038,-0.120455,-0.454827,-0.171452,0.254417,0.19753,-0.0239468,-0.272102,-0.473827,-0.502861,-0.352145,0.167011,0.172533,-0.140704,0.528744,-0.240942,0.275371,0.719012,0.37057,0.563902,0.620925,0.189227,-0.253439,0.225322,-0.554008,0.290821,0.287884,0.224344,-0.257933,0.068745,0.0908783,0.313776,-0.130125,0.30731,0.0911652,-0.481454,0.430122,0.0970619,-0.00430905,0.0477178,0.148044,-0.376563,0.918359,0.111654,0.00291749,-0.0262132,0.293394,-0.183947,0.198598,-0.105505,-0.360723,0.505871,-0.23946,0.645941,0.579079,0.158723,-0.185559,0.339667,0.226867,-0.137142,0.329659,0.445687,0.0426333,-0.069181,0.181365,0.224027,0.398251,0.173431,0.520606,1
0.278505,-0.107253,0.206912,0.592981,-0.1032,-0.351455,-0.222834,0.0243572,-0.118023,0.716728,-0.386144,-0.280114,0.393434,0.0246161,0.160098,0.329761,-0.411032,-0.338831,-0.0534202,-0.714656,-0.0863486,-0.0942167,-0.591197,0.294508,0.00123578,-0.036777,0.399529,-0.540649,-0.0221569,-0.0887556,0.182173,-0.364288,-0.182208,-0.132888,0.304545,-0.421292,0.46558,-0.401652,-0.764132,-0.927771,0.338276,-0.0412972,-0.130653,0.511593,0.372915,0.443014,-0.375371,-1.12615,0.377663,-0.672558,0.496401,0.240666,-0.244838,-0.0130202,-0.719896,0.571795,0.609656,-0.317404,-0.293919,-0.504647,-0.0918287,-0.618355,-0.175337,-0.62254,0.0949521,-0.113038,0.666866,-0.537063,0.724351,-0.0509486,-0.455641,-0.268949,0.348189,0.407472,-0.584005,-0.416506,0.117042,0.682523,0.401866,-0.0774889,0.132221,-0.0575054,-0.0449253,0.351618,-0.379753,0.146229,-0.484381,-0.359475,-0.509399,0.231823,-0.440697,-0.0340316,0.27994,0.507482,0.671422,-0.456295,-0.0608662,0.449197,-0.956625,-0.254317,-0.484483,0.457415,-0.238112,-0.553796,0.0404274,-0.213068,-0.766637,-0.149062,0.460457,0.489129,-0.885716,0.274112,0.230374,0.519052,-0.172841,0.590878,-0.0496156,0.361316,0.88401,0.525638,-0.277776,0.366689,0.0169811,-0.339552,-0.0601233,0.382226,0.468308,0.394147,-0.378485,0.162964,-0.22421,0.308358,-0.165574,-0.0401794,0.0480053,-0.362598,0.0960102,0.122758,-0.403908,-0.662435,-0.667777,-0.584199,0.25686,0.163869,-0.382135,0.520447,0.164585,-0.00169108,0.840659,0.867701,0.767823,1.19639,-0.491211,-0.202011,0.367843,-0.770389,0.578711,0.588873,0.557842,-0.375328,-0.219619,0.27824,0.605378,-0.42094,-0.152469,0.481984,-0.0366492,1.00107,0.34812,0.270978,0.0485517,-0.105248,-0.793887,0.92551,0.124895,-0.490957,-0.135462,0.908117,-0.312299,0.0450064,-0.366454,-0.283163,0.989015,-0.348683,1.08527,1.09899,0.941475,-0.483897,0.892439,0.150559,-0.565721,-0.222854,0.928884,0.201285,-0.418784,0.159545,0.330943,0.719111,-0.0864006,0.794866,1
0.316847,-0.29818,0.314518,0.445795,0.337833,-0.211253,-0.150487,0.221302,-0.182265,0.833956,-0.377356,0.322999,0.680737,-0.0753229,-0.0487859,0.557268,0.00621285,-0.343888,-0.306055,-0.521528,-0.109106,0.50218,-0.564986,0.0309505,-0.160573,-0.029373,0.0742081,-0.429121,-0.241454,-0.0915975,-0.076796,-0.691591,-0.248492,0.219498,0.459201,-0.35372,0.356529,-0.337484,-0.567835,-0.76184,0.221768,0.269173,0.00595117,0.414432,0.232519,0.820996,-0.245195,-1.0639,0.397979,-0.475429,0.420936,0.533029,-0.0942725,-0.048024,-0.161539,0.227394,0.106255,-0.499891,-0.373442,-0.287046,-0.115192,-0.430469,0.098124,-0.372191,-0.26619,0.0896959,0.676576,-0.235117,0.614273,0.0111611,-0.359287,-0.0924971,0.172547,0.558795,-0.579719,-0.0439038,-0.00138041,0.317409,0.393606,-0.377741,0.113547,-0.193882,-0.141369,0.50753,-0.212012,0.0456099,-0.50857,0.0786144,-0.413783,0.0502307,-0.644467,-0.249552,0.232994,0.701912,0.0626715,-0.772812,0.157416,0.480843,-0.809002,-0.384048,-0.642035,0.705583,-0.360497,-0.737873,0.267173,-0.361237,-0.789534,-0.272657,0.380011,0.412795,-0.882068,0.13139,0.351016,0.253392,-0.164219,0.213321,-0.165176,0.466655,0.780435,0.215312,-0.406857,0.522893,0.0976297,-0.893779,-0.47218,0.473124,0.341412,0.165879,-0.333869,-0.344716,0.216637,-0.215884,-0.302039,-0.607886,-0.300122,0.535487,0.384426,-0.0610143,-0.480921,-0.770352,-0.733657,-0.622933,0.392117,0.292246,-0.33889,1.20512,-0.191475,0.24875,1.04314,0.632805,0.750982,0.913868,0.0620067,-0.480482,0.365201,-0.819114,0.687019,0.465182,0.404588,-0.547433,0.162283,0.236269,0.74004,-0.203393,0.348315,0.347381,-0.658799,0.619011,0.0390639,0.0187826,0.223154,0.0185008,-0.626306,1.29741,0.116762,-0.0394893,0.309789,0.87761,-0.217131,0.322207,-0.41487,-0.559559,0.93484,-0.292394,1.05624,0.816191,0.527636,-0.320165,0.504133,0.319456,-0.188068,0.465752,0.73316,0.0959174,-0.275963,-0.064167,0.195926,0.505465,0.486192,0.685473,1
