dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,dimension9,dimension10,dimension11,dimension12,dimension13,dimension14,dimension15,dimension16,dimension17,dimension18,dimension19,dimension20,dimension21,dimension22,dimension23,dimension24,dimension25,dimension26,dimension27,dimension28,dimension29,dimension30,dimension31,dimension32,dimension33,dimension34,dimension35,dimension36,dimension37,dimension38,dimension39,dimension40,dimension41,dimension42,dimension43,dimension44,dimension45,dimension46,dimension47,dimension48,dimension49,dimension50,dimension51,dimension52,dimension53,dimension54,dimension55,dimension56,dimension57,dimension58,dimension59,dimension60,dimension61,dimension62,dimension63,dimension64,dimension65,dimension66,dimension67,dimension68,dimension69,dimension70,dimension71,dimension72,dimension73,dimension74,dimension75,dimension76,dimension77,dimension78,dimension79,dimension80,dimension81,dimension82,dimension83,dimension84,dimension85,dimension86,dimension87,dimension88,dimension89,dimension90,dimension91,dimension92,dimension93,dimension94,dimension95,dimension96,dimension97,dimension98,dimension99,dimension100,dimension101,dimension102,dimension103,dimension104,dimension105,dimension106,dimension107,dimension108,dimension109,dimension110,dimension111,dimension112,dimension113,dimension114,dimension115,dimension116,dimension117,dimension118,dimension119,dimension120,dimension121,dimension122,dimension123,dimension124,dimension125,dimension126,dimension127,dimension128,dimension129,dimension130,dimension131,dimension132,dimension133,dimension134,dimension135,dimension136,dimension137,dimension138,dimension139,dimension140,dimension141,dimension142,dimension143,dimension144,dimension145,dimension146,dimension147,dimension148,dimension149,dimension150,dimension151,dimension152,dimension153,dimension154,dimension155,dimension156,dimension157,dimension158,dimension159,dimension160,dimension161,dimension162,dimension163,dimension164,dimension165,dimension166,dimension167,dimension168,dimension169,dimension170,dimension171,dimension172,dimension173,dimension174,dimension175,dimension176,dimension177,dimension178,dimension179,dimension180,dimension181,dimension182,dimension183,dimension184,dimension185,dimension186,dimension187,dimension188,dimension189,dimension190,dimension191,dimension192,dimension193,dimension194,dimension195,dimension196,dimension197,dimension198,dimension199,dimension200,categories
-0.312428,0.179881,0.162091,-0.393767,0.0684336,0.123877,0.675303,0.0960368,-0.205764,0.357302,-0.213763,0.0938745,-0.172829,0.0271592,-0.0907791,0.0781573,-0.105976,0.121774,-0.38131,0.199529,-0.0176447,-0.572883,-0.530319,-0.416366,-0.0783596,-0.155849,0.0798568,0.07597,-0.114323,-0.221501,-0.204103,-0.0263578,0.000780065,0.137777,0.174946,0.0195079,-0.117517,0.300243,-0.254492,-0.0934246,-0.156427,0.00602221,0.158015,-0.00752593,-0.0159909,0.341881,-0.189832,-0.143015,-0.576165,0.240814,-0.297117,-0.311786,0.347634,-0.0682625,0.141433,0.026904,-0.151874,0.357871,-0.0226949,0.0117367,0.0994249,-0.188155,0.351494,0.0231583,0.453449,0.274056,-0.0363273,-0.130343,-0.106345,0.0493925,-0.176311,0.00725271,-0.0494652,0.0610787,0.200592,0.367209,0.0872859,-0.578835,-0.487187,0.226318,-0.363039,0.0499771,0.0647791,-0.168375,0.259755,0.144271,0.182162,-0.0143576,-0.184216,0.349847,-0.0458501,0.155114,0.253807,0.0221319,0.355196,0.198123,-0.242861,-0.142365,-0.0791055,-0.137573,-0.617887,0.523889,-0.32163,-0.647893,0.180257,-0.291261,-0.715654,-0.281424,0.258146,0.371599,-0.599791,0.10337,0.31495,0.266324,-0.0629039,0.173035,-0.0246003,0.415075,0.551106,0.114473,-0.315461,0.256028,0.107526,-0.465987,-0.215499,0.429547,0.226509,0.339173,-0.21489,-0.291523,0.165301,-0.0779063,-0.0864803,-0.511331,-0.182227,0.297047,0.246212,-0.0128039,-0.302746,-0.533435,-0.537348,-0.347749,0.145241,0.165007,-0.152192,0.614838,-0.259507,0.321476,0.726319,0.382515,0.588086,0.670445,0.155382,-0.292022,0.313564,-0.566629,0.369196,0.256595,0.235832,-0.330068,0.0488457,0.138489,0.327881,-0.142537,0.29943,0.148783,-0.46373,0.463087,0.105538,0.00260428,-0.00913159,0.0626759,-0.408207,1.0273,0.109314,-0.0388098,0.0260167,0.393086,-0.250778,0.207639,-0.136258,-0.426807,0.54222,-0.231158,0.696286,0.650012,0.204379,-0.164533,0.347316,0.258167,-0.125023,0.329234,0.51865,0.0322887,-0.0783659,0.188516,0.149679,0.436346,0.204747,0.554524,1
-0.249751,0.134652,0.0857301,-0.297338,0.0446907,0.0937028,0.476454,0.0752608,-0.100088,0.248544,-0.121804,0.0689822,-0.121828,0.0387293,-0.0207464,0.0379917,-0.0708188,0.0791134,-0.28751,0.145303,-0.0121066,-0.379146,-0.380982,-0.302899,-0.072823,-0.143794,0.0655513,0.0352614,-0.0573841,-0.175781,-0.150797,-0.0148873,-0.0168778,0.0596237,0.1081,-0.0106465,-0.0902102,0.187538,-0.212132,-0.0979207,-0.114269,-0.0162097,0.112879,-0.000626117,0.0140977,0.254383,-0.0940803,-0.103792,-0.373496,0.176442,-0.196215,-0.218561,0.249678,-0.0850031,0.124615,-0.00625299,-0.0619294,0.215514,-0.0449315,-0.00354372,0.0160613,-0.146763,0.228283,0.00761526,0.297981,0.1788,-0.0455161,-0.1085,-0.0716887,0.00992467,-0.106538,0.0180964,-0.0155582,0.07963,0.149562,0.293866,0.0422471,-0.350022,-0.407966,0.14192,-0.253494,0.0186772,0.0744382,-0.0605694,0.167911,0.0894264,0.0897016,-0.0340215,-0.0974479,0.199134,0.00439164,0.118924,0.203229,-0.00895438,0.269497,0.147449,-0.158652,-0.02444,-0.0595138,-0.143087,-0.552023,0.463889,-0.278065,-0.498651,0.0925202,-0.264737,-0.585392,-0.255744,0.194083,0.32995,-0.426315,0.085368,0.263652,0.206267,-0.0359495,0.0919442,-0.00591624,0.307226,0.358936,0.106182,-0.21441,0.103091,0.0699753,-0.262176,-0.222926,0.299676,0.0635619,0.348993,-0.132698,-0.195356,0.18125,-0.052247,-0.048496,-0.446512,-0.144902,0.154482,0.13258,0.0270316,-0.161958,-0.404328,-0.453134,-0.298392,0.0750318,0.162008,-0.0319708,0.263466,-0.26992,0.250479,0.526179,0.254315,0.461616,0.48095,0.21333,-0.126763,0.154043,-0.398601,0.0904265,0.266119,0.132943,-0.205156,0.0588282,0.0790352,0.123568,-0.103889,0.275435,0.0174879,-0.34445,0.353534,0.13611,-0.0176672,0.0136853,0.128859,-0.305123,0.759637,0.116291,-0.00237717,-0.118043,0.109625,-0.190858,0.136329,0.0255503,-0.322896,0.345751,-0.243566,0.458222,0.446554,0.00264037,-0.0985553,0.208707,0.256337,-0.105501,0.282245,0.324332,0.0241496,0.066062,0.203882,0.184992,0.275632,0.0650978,0.421212,1
-0.300156,0.167874,0.140796,-0.372525,0.0623896,0.117887,0.62147,0.0898797,-0.173188,0.327897,-0.185721,0.0848213,-0.15684,0.0337914,-0.0661654,0.0677719,-0.092262,0.110758,-0.364208,0.186084,-0.0180834,-0.517942,-0.489893,-0.391582,-0.0773429,-0.155018,0.0785817,0.0626838,-0.0983199,-0.212847,-0.192106,-0.0223815,-0.00363681,0.113195,0.1571,0.00816036,-0.112206,0.270682,-0.249923,-0.0959715,-0.145487,-0.00428857,0.143729,-0.00342791,-0.00471116,0.322444,-0.158184,-0.134396,-0.517502,0.226418,-0.270867,-0.289296,0.325319,-0.0767465,0.140593,0.0142957,-0.124081,0.316495,-0.0313895,0.00814834,0.0721214,-0.175306,0.318755,0.014519,0.409286,0.24803,-0.0398803,-0.126583,-0.0983833,0.0372928,-0.151632,0.0134188,-0.040098,0.0727616,0.188861,0.35618,0.0710574,-0.512928,-0.472936,0.202115,-0.332395,0.0365922,0.072423,-0.13677,0.233301,0.129511,0.149471,-0.0257045,-0.159966,0.308853,-0.0285155,0.145158,0.242523,0.0119987,0.338513,0.186644,-0.219046,-0.102665,-0.0730989,-0.14846,-0.616117,0.501161,-0.308997,-0.591402,0.163543,-0.299063,-0.671441,-0.265939,0.231856,0.376135,-0.555949,0.106077,0.303184,0.254912,-0.0670271,0.144089,-0.0195964,0.38294,0.492858,0.114176,-0.281162,0.216049,0.0959541,-0.39897,-0.210564,0.393449,0.178463,0.349886,-0.185552,-0.256501,0.151594,-0.0581671,-0.0688469,-0.49191,-0.172014,0.237034,0.203144,-0.00611213,-0.261318,-0.499657,-0.514416,-0.331942,0.117595,0.145487,-0.115446,0.509205,-0.273551,0.303253,0.671981,0.353953,0.55528,0.625467,0.179653,-0.238359,0.269338,-0.522517,0.284415,0.247849,0.210482,-0.295879,0.0372857,0.118308,0.261747,-0.128486,0.293978,0.114854,-0.445634,0.442553,0.111712,-0.00924732,0.00148661,0.0861928,-0.369928,0.951632,0.109462,-0.0239309,-0.0160668,0.305831,-0.233173,0.183361,-0.08434,-0.403179,0.492689,-0.229505,0.632391,0.603157,0.150129,-0.143483,0.324417,0.253819,-0.123983,0.311889,0.465338,0.0166495,-0.041539,0.21863,0.175894,0.397322,0.174882,0.533304,1
-0.292073,0.15903,0.12731,-0.355393,0.0570392,0.112872,0.586825,0.0864666,-0.151913,0.3052,-0.17037,0.0828767,-0.147613,0.0354822,-0.0545213,0.0612223,-0.0870433,0.103702,-0.345016,0.174157,-0.0186821,-0.481561,-0.464563,-0.374353,-0.0787172,-0.15416,0.0774511,0.055388,-0.0883802,-0.202221,-0.183324,-0.0219915,-0.00782948,0.0993666,0.142328,0.00315009,-0.109417,0.250888,-0.241843,-0.0989412,-0.137629,-0.00888226,0.140349,-0.00124506,0.00159614,0.306386,-0.139733,-0.127966,-0.479352,0.216774,-0.252138,-0.270631,0.309025,-0.0807097,0.135044,0.0117944,-0.107094,0.289737,-0.0364008,0.00504727,0.0543563,-0.166448,0.294391,0.0142695,0.38321,0.231021,-0.0433545,-0.123566,-0.0933016,0.0275497,-0.138691,0.0168205,-0.0340824,0.077389,0.180635,0.340213,0.0636661,-0.472636,-0.461359,0.186846,-0.312472,0.0327808,0.0722815,-0.116009,0.217514,0.118611,0.133355,-0.0299622,-0.145389,0.280298,-0.0182295,0.141008,0.233093,0.00570989,0.322002,0.177258,-0.205802,-0.0810889,-0.0693299,-0.149336,-0.606369,0.49345,-0.29891,-0.577431,0.142845,-0.292074,-0.652564,-0.277883,0.226617,0.362286,-0.52895,0.0997676,0.287646,0.240138,-0.066479,0.124525,-0.0158722,0.365905,0.459202,0.113541,-0.26158,0.183982,0.0815402,-0.364076,-0.21479,0.371116,0.156928,0.350876,-0.177711,-0.25505,0.166275,-0.0528517,-0.0572913,-0.476532,-0.163456,0.222057,0.184493,0.00216245,-0.238887,-0.488271,-0.49876,-0.329468,0.102762,0.158612,-0.0813072,0.44121,-0.276979,0.285679,0.61846,0.317653,0.531995,0.588663,0.181929,-0.218374,0.241518,-0.489058,0.231734,0.253869,0.188303,-0.27732,0.0441217,0.117963,0.230599,-0.12364,0.286785,0.097374,-0.421108,0.423075,0.122353,-0.0186348,0.0058425,0.103923,-0.361364,0.904605,0.112574,-0.0223103,-0.0338764,0.260393,-0.219033,0.173723,-0.0501542,-0.386429,0.44855,-0.226505,0.576948,0.552788,0.108141,-0.125243,0.291273,0.266454,-0.1116,0.295076,0.438114,0.0153284,-0.00333931,0.221096,0.165437,0.354205,0.147533,0.50344,1
-0.328262,0.183221,0.193829,-0.429777,0.0825969,0.133927,0.726347,0.108718,-0.235599,0.367514,-0.249192,0.0898942,-0.188584,0.0365011,-0.127971,0.0934148,-0.112198,0.133687,-0.418479,0.228208,-0.0158404,-0.625237,-0.562212,-0.440878,-0.0815351,-0.161881,0.0787663,0.0958514,-0.124092,-0.227462,-0.21556,-0.0408786,0.018964,0.160052,0.196875,0.033633,-0.122021,0.330855,-0.25545,-0.0694816,-0.17027,-0.00576454,0.171051,0.00071439,-0.00818998,0.356462,-0.226045,-0.14213,-0.621516,0.266466,-0.316599,-0.332756,0.383687,-0.0594816,0.149134,0.0503497,-0.177156,0.387419,-0.012694,0.0245128,0.131028,-0.189897,0.39671,0.0148228,0.499743,0.289642,-0.020089,-0.14006,-0.113426,0.0688512,-0.19189,0.00863609,-0.0651652,0.0559954,0.212479,0.37295,0.102433,-0.64637,-0.498602,0.24468,-0.391327,0.0607833,0.0601635,-0.206999,0.29426,0.166257,0.210938,-0.0253738,-0.217411,0.407353,-0.0683306,0.150489,0.264289,0.037041,0.367388,0.202575,-0.260062,-0.172893,-0.0723273,-0.143603,-0.666379,0.639702,-0.396332,-0.629269,0.246509,-0.310821,-0.703937,-0.295147,0.297775,0.411455,-0.663918,0.133501,0.376369,0.272771,-0.118986,0.121721,-0.0591906,0.440964,0.586181,0.138377,-0.306226,0.28814,0.0750575,-0.569827,-0.341622,0.382409,0.250756,0.305046,-0.201937,-0.268412,0.146591,-0.0963495,-0.176246,-0.516105,-0.195281,0.352573,0.273016,-0.0850045,-0.355928,-0.545105,-0.542903,-0.407764,0.249274,0.217192,-0.20782,0.747236,-0.21703,0.294728,0.878932,0.453464,0.648081,0.7328,0.188374,-0.347901,0.267192,-0.648033,0.449367,0.337312,0.269732,-0.306571,0.0827191,0.12291,0.448535,-0.127112,0.334643,0.149543,-0.585545,0.47985,0.102511,8.76577e-05,0.0723739,0.118763,-0.438479,1.06286,0.114291,0.0318288,0.0476039,0.43557,-0.198148,0.23534,-0.201077,-0.440458,0.612729,-0.2634,0.792397,0.686525,0.295109,-0.248955,0.415032,0.230473,-0.16049,0.40565,0.561541,0.042151,-0.13824,0.146408,0.239683,0.495526,0.249389,0.603694,1
-0.269964,0.146009,0.107185,-0.335095,0.0570249,0.105067,0.539861,0.0851265,-0.130052,0.281779,-0.145977,0.0716016,-0.140564,0.0426813,-0.0395341,0.0461745,-0.0790073,0.0901072,-0.325924,0.169587,-0.00805907,-0.440755,-0.426353,-0.340973,-0.0782979,-0.154554,0.0679308,0.0458747,-0.0708531,-0.193009,-0.170407,-0.0207618,-0.00972104,0.0775073,0.127933,-0.00597228,-0.100714,0.218814,-0.228596,-0.0909515,-0.13239,-0.0201336,0.120813,0.00268493,0.0169085,0.28174,-0.117124,-0.11136,-0.431634,0.202033,-0.222114,-0.253884,0.282093,-0.0832827,0.138194,-0.00209561,-0.0852621,0.253806,-0.0388657,6.78425e-05,0.0373972,-0.161456,0.272604,0.00280707,0.346212,0.202294,-0.0401833,-0.119364,-0.0847169,0.0231031,-0.125993,0.0159292,-0.028401,0.0804034,0.168914,0.324177,0.055521,-0.411909,-0.440811,0.160725,-0.288453,0.0242938,0.0792112,-0.0876187,0.199988,0.110578,0.114877,-0.0347181,-0.119721,0.246527,-0.00701258,0.123921,0.224041,-0.00167032,0.302635,0.162535,-0.179117,-0.0523872,-0.0667042,-0.150516,-0.556045,0.518837,-0.330718,-0.503031,0.12332,-0.281286,-0.607854,-0.249338,0.235855,0.356766,-0.501195,0.105447,0.295741,0.220515,-0.067002,0.104056,-0.0163968,0.336833,0.402374,0.13595,-0.242108,0.134538,0.052136,-0.353875,-0.281444,0.313206,0.0886125,0.317267,-0.144415,-0.193298,0.139331,-0.0794792,-0.0861068,-0.443116,-0.173267,0.198962,0.165825,-0.0028181,-0.22078,-0.428918,-0.489373,-0.33517,0.112215,0.176636,-0.0865177,0.367751,-0.245374,0.259829,0.622575,0.315414,0.513476,0.53859,0.216315,-0.190437,0.181507,-0.490847,0.178021,0.287495,0.180499,-0.231866,0.0820387,0.068466,0.21427,-0.124249,0.292819,0.041489,-0.41916,0.384378,0.131312,0.00641968,0.0478282,0.144933,-0.336217,0.826981,0.116324,-0.00311898,-0.0846398,0.195938,-0.180965,0.167194,-0.0409026,-0.328793,0.426538,-0.252644,0.547199,0.491142,0.0722444,-0.150916,0.276008,0.244693,-0.124492,0.30289,0.370846,0.0465728,-0.0040458,0.178869,0.214159,0.333966,0.107086,0.461227,1
-0.312726,0.170604,0.165257,-0.404188,0.0752278,0.12584,0.669121,0.0992125,-0.206493,0.344353,-0.215807,0.0841046,-0.179033,0.0398186,-0.0976373,0.0772094,-0.101302,0.119554,-0.392617,0.213655,-0.0151925,-0.571167,-0.52601,-0.416577,-0.0824623,-0.163363,0.0772394,0.077706,-0.108002,-0.220882,-0.206031,-0.0330517,0.0102991,0.134469,0.17761,0.0176962,-0.121593,0.297668,-0.249944,-0.0756804,-0.163516,-0.0155005,0.148841,0.00591289,0.00128527,0.336253,-0.190936,-0.133553,-0.565301,0.247887,-0.288773,-0.313149,0.352925,-0.0751846,0.146114,0.0256173,-0.152165,0.347031,-0.0225728,0.0152332,0.101772,-0.18061,0.364147,0.00699229,0.456524,0.260075,-0.0271626,-0.137168,-0.107872,0.0553887,-0.173461,0.0118506,-0.0610995,0.0664095,0.200884,0.365927,0.0890695,-0.570127,-0.484141,0.214258,-0.361236,0.0463724,0.0696078,-0.169171,0.265845,0.151925,0.183456,-0.0274918,-0.183532,0.359776,-0.0477175,0.138838,0.254686,0.0274451,0.355318,0.194201,-0.237365,-0.133709,-0.0726147,-0.146717,-0.638488,0.596637,-0.381201,-0.594503,0.208912,-0.298107,-0.667816,-0.283025,0.275907,0.405096,-0.608362,0.121295,0.360415,0.2345,-0.105778,0.127749,-0.0555726,0.404221,0.53336,0.14108,-0.284991,0.24867,0.0774526,-0.498149,-0.323628,0.371133,0.189177,0.308947,-0.186866,-0.251478,0.12885,-0.0905907,-0.143709,-0.499692,-0.193418,0.307428,0.229797,-0.0438401,-0.314642,-0.512358,-0.533472,-0.396108,0.215626,0.190736,-0.16785,0.640979,-0.231454,0.282876,0.802174,0.419451,0.607665,0.672723,0.192365,-0.28984,0.240951,-0.603356,0.354997,0.316656,0.240339,-0.293666,0.083393,0.116371,0.376857,-0.130145,0.31834,0.126977,-0.532044,0.474869,0.10709,0.00462065,0.0592481,0.140867,-0.421604,1.00052,0.118622,-0.00203265,0.00521523,0.368185,-0.19656,0.228903,-0.152573,-0.394279,0.577377,-0.264282,0.725371,0.641718,0.217206,-0.216227,0.370665,0.237672,-0.140688,0.37216,0.507268,0.0550746,-0.105239,0.171051,0.23738,0.445569,0.216748,0.569718,1
-0.299263,0.165205,0.146753,-0.378557,0.0705035,0.122326,0.629237,0.095668,-0.183119,0.327366,-0.19264,0.0760256,-0.164986,0.0386285,-0.0754555,0.0668969,-0.0938573,0.108832,-0.375123,0.196192,-0.00993157,-0.532895,-0.495153,-0.39304,-0.0812428,-0.161746,0.0728664,0.0667056,-0.0976082,-0.210728,-0.198702,-0.0310366,0.00479258,0.116645,0.160459,0.00918455,-0.112649,0.274567,-0.245211,-0.0817065,-0.153025,-0.0176153,0.139516,0.00515448,0.00979917,0.322082,-0.167847,-0.128478,-0.525442,0.233317,-0.268117,-0.298276,0.328806,-0.0764031,0.146344,0.0182098,-0.13269,0.318528,-0.0275055,0.0109433,0.0830978,-0.178207,0.335474,0.0048772,0.421483,0.243917,-0.032304,-0.132449,-0.101256,0.0467792,-0.159505,0.009369,-0.0491329,0.0710475,0.193199,0.349091,0.0783127,-0.521881,-0.473857,0.197827,-0.33942,0.0361444,0.070007,-0.142193,0.249192,0.137431,0.160264,-0.0282871,-0.165094,0.327092,-0.0327961,0.136414,0.245905,0.0139051,0.341041,0.182945,-0.217979,-0.109044,-0.0695908,-0.149006,-0.608608,0.557507,-0.373134,-0.57077,0.188956,-0.29722,-0.640385,-0.265282,0.245357,0.389531,-0.580383,0.130245,0.335035,0.244553,-0.0955605,0.127549,-0.02954,0.387495,0.484596,0.143474,-0.27257,0.212398,0.0607765,-0.439393,-0.298358,0.33934,0.169511,0.303042,-0.174745,-0.233124,0.121529,-0.0674136,-0.124827,-0.465902,-0.176652,0.264469,0.203723,-0.0263351,-0.2818,-0.4882,-0.516719,-0.361889,0.172861,0.175247,-0.147018,0.549119,-0.246203,0.28374,0.740476,0.381656,0.580339,0.638544,0.192315,-0.26356,0.232904,-0.569932,0.30465,0.293263,0.231502,-0.263893,0.0709985,0.0951653,0.327509,-0.13308,0.314204,0.0971992,-0.495586,0.443166,0.0993765,-0.00477448,0.0480854,0.150634,-0.388172,0.94552,0.11322,0.00195756,-0.0223039,0.305933,-0.187593,0.205963,-0.111293,-0.372436,0.522948,-0.245806,0.66647,0.596347,0.168346,-0.19269,0.349154,0.232745,-0.139842,0.33899,0.459973,0.0450276,-0.0752585,0.185724,0.228762,0.411902,0.179991,0.535325,1
-0.389434,0.154333,0.209651,-0.42427,0.0738245,0.216938,0.887486,0.049255,-0.463495,0.475342,-0.230858,-0.0103593,-0.169366,0.109586,-0.253078,0.342646,-0.180575,0.134658,-0.49143,0.375199,-0.0518356,-0.84737,-0.733025,-0.550611,-0.111763,-0.0941006,0.195565,0.129508,-0.0707938,-0.330847,-0.303398,0.036725,0.0735334,0.196794,0.395203,0.0270504,-0.330492,0.336608,-0.238588,-0.166294,-0.277334,-0.0611412,-0.00938881,0.082707,-0.117792,0.367176,-0.239951,-0.197118,-0.917188,0.441824,-0.375472,-0.379396,0.41683,-0.252475,0.124653,-0.0238758,-0.439348,0.488631,0.0463572,0.0504745,0.40221,-0.315994,0.670666,-0.0473621,0.574716,0.18694,-0.00123913,-0.287155,-0.318488,0.0480541,-0.272666,-0.0496336,-0.0745952,0.0545244,0.133129,0.584176,0.220328,-0.750283,-0.529546,0.188837,-0.399202,0.126845,0.0645309,-0.251054,0.293151,0.198379,0.26873,0.0387633,-0.204804,0.547342,-0.172046,0.0211835,0.254376,0.172569,0.529757,0.390281,-0.227944,-0.34942,-0.156868,-0.0793585,-0.484483,0.457415,-0.238112,-0.553796,0.0404274,-0.213068,-0.766637,-0.149062,0.460457,0.489129,-0.885716,0.274112,0.230374,0.519052,-0.172841,0.590878,-0.0496156,0.361316,0.88401,0.525638,-0.277776,0.366689,0.0169811,-0.339552,-0.0601234,0.382226,0.468308,0.394147,-0.378485,0.162964,-0.22421,0.308358,-0.165574,-0.0401794,0.0480053,-0.362598,0.0960102,0.122758,-0.403908,-0.662435,-0.667777,-0.584199,0.25686,0.163869,-0.382135,0.520447,0.164585,-0.00169108,0.840658,0.867701,0.767823,1.19639,-0.491211,-0.202011,0.367843,-0.770389,0.578711,0.588873,0.557842,-0.375328,-0.219619,0.27824,0.605378,-0.42094,-0.152469,0.481984,-0.0366493,1.00107,0.34812,0.270978,0.0485516,-0.105248,-0.793887,0.92551,0.124895,-0.490957,-0.135462,0.908117,-0.312299,0.0450064,-0.366454,-0.283163,0.989015,-0.348683,1.08527,1.09899,0.941475,-0.483897,0.892439,0.150559,-0.565721,-0.222854,0.928884,0.201285,-0.418784,0.159545,0.330943,0.719111,-0.0864006,0.794866,1
-0.365681,0.17989,0.348855,-0.537209,0.181651,0.141787,0.953361,0.181327,-0.361379,0.45979,-0.419952,0.139361,-0.269101,0.0188988,-0.299706,0.168126,-0.159951,0.157221,-0.455583,0.303264,-0.0389773,-0.824495,-0.73777,-0.555077,-0.111807,-0.182764,0.0957145,0.117981,-0.228992,-0.241653,-0.285901,-0.0498309,0.0683117,0.252607,0.253097,0.0701705,-0.21744,0.430445,-0.196425,0.0114818,-0.232921,0.0114731,0.221772,0.0113431,-0.0489564,0.357082,-0.307266,-0.146908,-0.806732,0.3376,-0.385487,-0.455493,0.497658,-0.0506572,0.112084,0.0803029,-0.3085,0.52873,0.0408654,0.0321378,0.263395,-0.152547,0.578869,0.0246241,0.703406,0.353078,0.0161835,-0.175925,-0.169781,0.1083,-0.292654,-0.0180377,-0.191615,0.00525161,0.256912,0.426649,0.170033,-0.910232,-0.467765,0.309322,-0.456045,0.142553,0.0577136,-0.389268,0.420437,0.261146,0.3673,0.0127281,-0.312547,0.625381,-0.155506,0.115965,0.303567,0.122646,0.460268,0.27311,-0.378624,-0.412688,-0.136116,-0.0776261,-0.6439,0.707589,-0.361601,-0.739862,0.268057,-0.362209,-0.79171,-0.273521,0.380966,0.413906,-0.884645,0.131828,0.352005,0.253991,-0.164698,0.213913,-0.16569,0.467956,0.7827,0.215822,-0.407922,0.5244,0.0980345,-0.896557,-0.473539,0.474576,0.342502,0.166255,-0.33481,-0.345761,0.217232,-0.216402,-0.303083,-0.609537,-0.301071,0.537156,0.385449,-0.0614757,-0.482409,-0.772615,-0.735658,-0.624618,0.393297,0.293098,-0.340165,1.20866,-0.192003,0.249588,1.04626,0.634574,0.75306,0.916466,0.0621536,-0.48211,0.366263,-0.821402,0.689157,0.466506,0.405837,-0.548804,0.162709,0.237038,0.742408,-0.203986,0.349202,0.348474,-0.660731,0.620799,0.0391928,0.0187846,0.223653,0.0185561,-0.628085,1.30123,0.116988,-0.0395629,0.310839,0.880302,-0.217558,0.323178,-0.416064,-0.561309,0.937636,-0.293086,1.05931,0.81852,0.529384,-0.321155,0.505549,0.320328,-0.188327,0.46718,0.735347,0.0961746,-0.277048,-0.0643765,0.196382,0.507074,0.487531,0.68727,1
